Bundesland,GERICHTSBEZEICHNUNG,ECLI-GERICHTSCODE
Hessen,Arbeitsgericht Marburg,ARBGMARBU
Hessen,Arbeitsgericht Wetzlar,ARBGWETZL
Hessen,Hessischer Anwaltsgerichtshof,AWGHHE
Hessen,Anwaltsgerichtshof Frankfurt,AWGHHE
Hessen,Hessischer Verwaltungsgerichtshof,VGHHE
Hessen,Hessisches Finanzgericht,FGHE
Hessen,Finanzgericht Hessen,FGHE
Hessen,Hessisches Landesarbeitsgericht,LAGHE
Hessen,Hessisches Landessozialgericht,LSGHE
Hessen,Landgericht Darmstadt,LGDARMS
Hessen,Landgericht Frankfurt am Main,LGFFM
Hessen,Landgericht Frankfurt,LGFFM
Hessen,Landgericht Frankfurt,LGHE
Hessen,Landgericht Fulda,LGFULDA
Hessen,Landgericht Gießen,LGGIESS
Hessen,Landgericht Hanau,LGHANAU
Hessen,Landgericht Kassel,LGKASSE
Hessen,Landgericht Limburg a.d. Lahn,LGLIMBU
Hessen,Landgericht Limburg,LGLIMBU
Hessen,Landgericht Marburg,LGMARBU
Hessen,Landgericht Wiesbaden,LGWIESB
Hessen,Oberlandesgericht Frankfurt am Main,OLGHE
Hessen,Oberlandesgericht Frankfurt,OLGHE
Hessen,Sozialgericht Darmstadt,SGDARMS
Hessen,Sozialgericht Frankfurt am Main,SGFFM
Hessen,Sozialgericht Frankfurt,SGFFM
Hessen,Sozialgericht Fulda,SGFULDA
Hessen,Sozialgericht Gießen,SGGIESS
Hessen,Sozialgericht Kassel,SGKASSE
Hessen,Sozialgericht Marburg,SGMARBU
Hessen,Sozialgericht Wiesbaden,SGWIESB
Hessen,Staatsgerichtshof des Landes Hessen,STGHHE
Hessen,Staatsgerichtshof des Landes Hessen Staatsgerichtshof des Landes Hessen,STGHHE
Hessen,Vergabekammer des Landes Hessen,VKHE
Hessen,Verwaltungsgericht Darmstadt,VGDARMS
Hessen,Verwaltungsgericht Frankfurt,VGFFM
Hessen,Verwaltungsgericht Gießen,VGGIESS
Hessen,Verwaltungsgericht Kassel,VGKASSE
Hessen,Verwaltungsgericht Wiesbaden,VGWIESB
Hessen,Verwaltungsgericht Gießen Berufsgericht für Heilberufe,BGHHE
Hessen,Hessischer Verwaltungsgerichtshof Landesberufsgericht für Heilberufe,BGHHE
Mecklenburg-Vorpommern,Amtsgericht Bergen (Rügen),AGBERGE
Mecklenburg-Vorpommern,Amtsgericht Greifswald,AGGREIF
Mecklenburg-Vorpommern,Amtsgericht Güstrow,AGGUEST
Mecklenburg-Vorpommern,Amtsgericht Ludwigslust,AGLUP
Mecklenburg-Vorpommern,Amtsgericht Neubrandenburg,AGNEUBR
Mecklenburg-Vorpommern,Amtsgericht Neustrelitz,AGNSTREL
Mecklenburg-Vorpommern,Amtsgericht Pasewalk,AGPASEW
Mecklenburg-Vorpommern,Amtsgericht Ribnitz-Damgarten,AGRIBNI
Mecklenburg-Vorpommern,Amtsgericht Rostock,AGROSTO
Mecklenburg-Vorpommern,Amtsgericht Schwerin,AGSN
Mecklenburg-Vorpommern,Amtsgericht Stralsund,AGSTRAL
Mecklenburg-Vorpommern,Amtsgericht Waren (Müritz),AGWAREN
Mecklenburg-Vorpommern,Amtsgericht Waren,AGWAREN
Mecklenburg-Vorpommern,Amtsgericht Wismar,AGWISMA
Mecklenburg-Vorpommern,Anwaltsgericht für den Bezirk der Rechtsanwaltskammer Mecklenburg-Vorpommern,AWGMV
Mecklenburg-Vorpommern,Anwaltsgerichtshof für den Bezirk der Rechtsanwaltskammer Mecklenburg-Vorpommern,AWGHMV
Mecklenburg-Vorpommern,Anwaltsgerichtshof Rostock,AWGHMV
Mecklenburg-Vorpommern,Arbeitsgericht Rostock,ARBGROS
Mecklenburg-Vorpommern,Arbeitsgericht Schwerin,ARBGSCH
Mecklenburg-Vorpommern,Arbeitsgericht Stralsund,ARBGSTR
Mecklenburg-Vorpommern,Finanzgericht Mecklenburg-Vorpommern,FGMV
Mecklenburg-Vorpommern,Landesarbeitsgericht Mecklenburg-Vorpommern,LAGMV
Mecklenburg-Vorpommern,Landessozialgericht Mecklenburg-Vorpommern,LSGMV
Mecklenburg-Vorpommern,Landesverfassungsgericht Mecklenburg-Vorpommern,VERFGMV
Mecklenburg-Vorpommern,Verfassungsgericht Mecklenburg-Vorpommern,VERFGMV
Mecklenburg-Vorpommern,Landgericht Neubrandenburg,LGNEUBR
Mecklenburg-Vorpommern,Landgericht Rostock,LGROSTO
Mecklenburg-Vorpommern,Landgericht Schwerin,LGSN
Mecklenburg-Vorpommern,Landgericht Stralsund,LGSTRAL
Mecklenburg-Vorpommern,Oberlandesgericht Rostock,OLGROST
Mecklenburg-Vorpommern,Oberverwaltungsgericht Mecklenburg-Vorpommern,OVGMV
Mecklenburg-Vorpommern,Oberverwaltungsgericht für das Land Mecklenburg-Vorpommern,OVGMV
Mecklenburg-Vorpommern,Sozialgericht Neubrandenburg,SGNEUBR
Mecklenburg-Vorpommern,Sozialgericht Rostock,SGROSTO
Mecklenburg-Vorpommern,Sozialgericht Schwerin,SGSCHWE
Mecklenburg-Vorpommern,Sozialgericht Stralsund,SGSTRAL
Mecklenburg-Vorpommern,Vergabekammern des Landes Mecklenburg-Vorpommern,VKMV
Mecklenburg-Vorpommern,Vergabekammer Mecklenburg-Vorpommern,VKMV
Mecklenburg-Vorpommern,Verwaltungsgericht Greifswald,VGGREIF
Mecklenburg-Vorpommern,Verwaltungsgericht Schwerin,VGSCHWE
Niedersachsen,Amtsgericht Achim,AGACHIM
Niedersachsen,Amtsgericht Alfeld (Leine),AGALFLD
Niedersachsen,Amtsgericht Alfeld,AGALFLD
Niedersachsen,Amtsgericht Aurich,AGAURIC
Niedersachsen,Amtsgericht Bad Gandersheim,AGBADGA
Niedersachsen,Amtsgericht Bad Iburg,AGBADIB
Niedersachsen,Amtsgericht Bersenbrück,AGBERSB
Niedersachsen,Amtsgericht Brake (Unterweser),AGBRAKE
Niedersachsen,Amtsgericht Brake,AGBRAKE
Niedersachsen,Amtsgericht Braunschweig,AGBRAUN
Niedersachsen,Amtsgericht Bremervörde,AGBREMV
Niedersachsen,Amtsgericht Bückeburg,AGBUECK
Niedersachsen,Amtsgericht Burgdorf,AGBURGD
Niedersachsen,Amtsgericht Burgwedel,AGBURGW
Niedersachsen,Amtsgericht Buxtehude,AGBUXTH
Niedersachsen,Amtsgericht Celle,AGCELLE
Niedersachsen,Amtsgericht Clausthal-Zellerfeld,AGCLAUS
Niedersachsen,Amtsgericht Cloppenburg,AGCLOPP
Niedersachsen,Amtsgericht Cuxhaven,AGCUXHA
Niedersachsen,Amtsgericht Dannenberg (Elbe),AGDANNB
Niedersachsen,Amtsgericht Dannenberg,AGDANNB
Niedersachsen,Amtsgericht Delmenhorst,AGDELMH
Niedersachsen,Amtsgericht Diepholz,AGDIEPH
Niedersachsen,Amtsgericht Duderstadt,AGDUDST
Niedersachsen,Amtsgericht Einbeck,AGEINBE
Niedersachsen,Amtsgericht Elze,AGELZE
Niedersachsen,Amtsgericht Emden,AGEMDEN
Niedersachsen,Amtsgericht Geestland,AGGEEST
Niedersachsen,Amtsgericht Gifhorn,AGGIFHO
Niedersachsen,Amtsgericht Goslar,AGGOSLR
Niedersachsen,Amtsgericht Göttingen,AGGOETT
Niedersachsen,Amtsgericht Hameln,AGHAMEL
Niedersachsen,Amtsgericht Hann.Münden,AGHAMUE
Niedersachsen,Amtsgericht Hannover,AGHANNO
Niedersachsen,Amtsgericht Helmstedt,AGHELMS
Niedersachsen,Amtsgericht Herzberg am Harz,AGHERZB
Niedersachsen,Amtsgericht Hildesheim,AGHILDE
Niedersachsen,Amtsgericht Holzminden,AGHOLZM
Niedersachsen,Amtsgericht Jever,AGJEVER
Niedersachsen,Amtsgericht Leer (Ostfriesland),AGLEER
Niedersachsen,Amtsgericht Leer,AGLEER
Niedersachsen,Amtsgericht Lehrte,AGLEHRT
Niedersachsen,Amtsgericht Lingen (Ems),AGLINGE
Niedersachsen,Amtsgericht Lingen,AGLINGE
Niedersachsen,Amtsgericht Lüneburg,AGLUENE
Niedersachsen,Amtsgericht Meppen,AGMEPPN
Niedersachsen,Amtsgericht Neustadt am Rübenberge,AGNEUST
Niedersachsen,Amtsgericht Neustadt (Rübenberge),AGNEUST
Niedersachsen,Amtsgericht Nienburg (Weser),AGNIENB
Niedersachsen,Amtsgericht Nienburg,AGNIENB
Niedersachsen,Amtsgericht Norden,AGNORDN
Niedersachsen,Amtsgericht Nordenham,AGNOHAM
Niedersachsen,Amtsgericht Nordhorn,AGNOHOR
Niedersachsen,Amtsgericht Northeim,AGNORTH
Niedersachsen,Amtsgericht Oldenburg (Oldenburg),AGOLDBG
Niedersachsen,Amtsgericht Oldenburg,AGOLDBG
Niedersachsen,Amtsgericht Osnabrück,AGOSNAB
Niedersachsen,Amtsgericht Osterholz-Scharmbeck,AGOSTER
Niedersachsen,Amtsgericht Osterode am Harz,AGORODE
Niedersachsen,Amtsgericht Osterode,AGORODE
Niedersachsen,Amtsgericht Otterndorf,AGOTTER
Niedersachsen,Amtsgericht Papenburg,AGPAPBG
Niedersachsen,Amtsgericht Peine,AGPEINE
Niedersachsen,Amtsgericht Rinteln,AGRINTE
Niedersachsen,Amtsgericht Rotenburg (Wümme),AGROTBG
Niedersachsen,Amtsgericht Rotenburg,AGROTBG
Niedersachsen,Amtsgericht Salzgitter,AGSALZG
Niedersachsen,Amtsgericht Seesen,AGSEESN
Niedersachsen,Amtsgericht Soltau,AGSOLTA
Niedersachsen,Amtsgericht Springe,AGSPRIN
Niedersachsen,Amtsgericht Stade,AGSTADE
Niedersachsen,Amtsgericht Stadthagen,AGSTHAG
Niedersachsen,Amtsgericht Stolzenau,AGSTOLZ
Niedersachsen,Amtsgericht Sulingen,AGSULIG
Niedersachsen,Amtsgericht Syke,AGSYKE
Niedersachsen,Amtsgericht Tostedt,AGTOSTE
Niedersachsen,Amtsgericht Uelzen,AGUELZN
Niedersachsen,Amtsgericht Varel,AGVAREL
Niedersachsen,Amtsgericht Vechta,AGVECHT
Niedersachsen,Amtsgericht Verden (Aller),AGVERDN
Niedersachsen,Amtsgericht Verden,AGVERDN
Niedersachsen,Amtsgericht Walsrode,AGWALSR
Niedersachsen,Amtsgericht Wennigsen (Deister),AGWENNG
Niedersachsen,Amtsgericht Wennigsen,AGWENNG
Niedersachsen,Amtsgericht Westerstede,AGWESTS
Niedersachsen,Amtsgericht Wildeshausen,AGWILDH
Niedersachsen,Amtsgericht Wilhelmshaven,AGWILHV
Niedersachsen,Amtsgericht Winsen (Luhe),AGWINSN
Niedersachsen,Amtsgericht Winsen,AGWINSN
Niedersachsen,Amtsgericht Wittmund,AGWITTM
Niedersachsen,Amtsgericht Wolfenbüttel,AGWOBUE
Niedersachsen,Amtsgericht Wolfsburg,AGWOLFB
Niedersachsen,Amtsgericht Zeven,AGZEVEN
Niedersachsen,Anwaltsgericht Braunschweig,AWGBS
Niedersachsen,Anwaltsgericht Celle,AWGCE
Niedersachsen,Anwaltsgericht Oldenburg,AWGOL
Niedersachsen,Arbeitsgericht Braunschweig,ARBGBS
Niedersachsen,Arbeitsgericht Celle,ARBGCE
Niedersachsen,Arbeitsgericht Emden,ARBGEMD
Niedersachsen,Arbeitsgericht Göttingen,ARBGGOE
Niedersachsen,Arbeitsgericht Hameln,ARBGHM
Niedersachsen,Arbeitsgericht Hannover,ARBGHAN
Niedersachsen,Arbeitsgericht Hildesheim,ARBGHIL
Niedersachsen,Arbeitsgericht Lingen (Ems),ARBGLIN
Niedersachsen,Arbeitsgericht Lingen,ARBGLIN
Niedersachsen,Arbeitsgericht Lüneburg,ARBGLG
Niedersachsen,Arbeitsgericht Nienburg (Weser),ARBGNIE
Niedersachsen,Arbeitsgericht Nienburg,ARBGNIE
Niedersachsen,Arbeitsgericht Oldenburg (Oldenburg),ARBGOLD
Niedersachsen,Arbeitsgericht Osnabrück,ARBGOSN
Niedersachsen,Arbeitsgericht Stade,ARBGSTD
Niedersachsen,Arbeitsgericht Verden (Aller),ARBGVER
Niedersachsen,Arbeitsgericht Verden,ARBGVER
Niedersachsen,Arbeitsgericht Wilhelmshaven,ARBGWHV
Niedersachsen,Landesarbeitsgericht Niedersachsen,LAGNI
Niedersachsen,Landessozialgericht Niedersachsen-Bremen,LSGNIHB
Niedersachsen,Landessozialgericht für das Land Niedersachsen,LSGNIHB
Niedersachsen,Landgericht Aurich,LGAURIC
Niedersachsen,Landgericht Braunschweig,LGBRAUN
Niedersachsen,Landgericht Bückeburg,LGBUECK
Niedersachsen,Landgericht Göttingen,LGGOETT
Niedersachsen,Landgericht Hannover,LGHANNO
Niedersachsen,Landgericht Hildesheim,LGHILDE
Niedersachsen,Landgericht Lüneburg,LGLUENE
Niedersachsen,Landgericht Oldenburg (Oldenburg),LGOLDBG
Niedersachsen,Landgericht Osnabrück,LGOSNAB
Niedersachsen,Landgericht Stade,LGSTADE
Niedersachsen,Landgericht Verden (Aller),LGVERDN
Niedersachsen,Landgericht Verden,LGVERDN
Niedersachsen,Niedersächsischer Anwaltsgerichtshof,AWGHNI
Niedersachsen,Anwaltsgerichtshof Celle,AWGHNI
Niedersachsen,Niedersächsischer Staatsgerichtshof,STGHNI
Niedersachsen,Niedersächsisches Finanzgericht,FGNI
Niedersachsen,Finanzgericht Niedersachsen,FGNI
Niedersachsen,Niedersächsisches Oberverwaltungsgericht,OVGNI
Niedersachsen,Oberverwaltungsgericht Lüneburg,OVGNI
Niedersachsen,Oberlandesgericht Braunschweig,OLGBS
Niedersachsen,Oberlandesgericht Celle,OLGCE
Niedersachsen,Oberlandesgericht Oldenburg,OLGOL
Niedersachsen,Oberlandesgericht Oldenburg (Oldenburg),OLGOL
Niedersachsen,Sozialgericht Aurich,SGAURIC
Niedersachsen,Sozialgericht Braunschweig,SGBRAUN
Niedersachsen,Sozialgericht Hannover,SGHANNO
Niedersachsen,Sozialgericht Hildesheim,SGHILDE
Niedersachsen,Sozialgericht Lüneburg,SGLUENE
Niedersachsen,Sozialgericht Oldenburg (Oldenburg),SGOLDBG
Niedersachsen,Sozialgericht Osnabrück,SGOSNAB
Niedersachsen,Sozialgericht Stade,SGSTADE
Niedersachsen,Vergabekammer Niedersachsen,VKNI
Niedersachsen,Verwaltungsgericht Braunschweig,VGBRAUN
Niedersachsen,Verwaltungsgericht Göttingen,VGGOETT
Niedersachsen,Verwaltungsgericht Hannover,VGHANNO
Niedersachsen,Verwaltungsgericht Lüneburg,VGLUENE
Niedersachsen,Verwaltungsgericht Oldenburg (Oldenburg),VGOLDBG
Niedersachsen,Verwaltungsgericht Osnabrück,VGOSNAB
Niedersachsen,Verwaltungsgericht Stade,VGSTADE
Nordrhein-Westfalen,Amtsgericht Aachen,AGAC1
Nordrhein-Westfalen,Amtsgericht Ahaus,AGAH
Nordrhein-Westfalen,Amtsgericht Ahlen,AGWAF2
Nordrhein-Westfalen,Amtsgericht Altena,AGAL
Nordrhein-Westfalen,Amtsgericht Arnsberg,AGAR
Nordrhein-Westfalen,Amtsgericht Bad Berleburg,AGBLB
Nordrhein-Westfalen,Amtsgericht Bad Oeynhausen,AGMI2
Nordrhein-Westfalen,Amtsgericht Beckum,AGBE
Nordrhein-Westfalen,Amtsgericht Bergheim,AGBM1
Nordrhein-Westfalen,Amtsgericht Bergisch Gladbach,AGGL1
Nordrhein-Westfalen,Amtsgericht Bielefeld,AGBI
Nordrhein-Westfalen,Amtsgericht Blomberg,AGLIP
Nordrhein-Westfalen,Amtsgericht Bocholt,AGBOH
Nordrhein-Westfalen,Amtsgericht Bochum,AGBO
Nordrhein-Westfalen,Amtsgericht Bonn,AGBN
Nordrhein-Westfalen,Amtsgericht Borken,AGBOR1
Nordrhein-Westfalen,Amtsgericht Bottrop,AGBOT
Nordrhein-Westfalen,Amtsgericht Brakel,AGHX2
Nordrhein-Westfalen,Amtsgericht Brilon,AGBRI
Nordrhein-Westfalen,Amtsgericht Brühl,AGBM2
Nordrhein-Westfalen,Amtsgericht Bünde,AGHF2
Nordrhein-Westfalen,Amtsgericht Castrop-Rauxel,AGCAS
Nordrhein-Westfalen,Amtsgericht Coesfeld,AGCOE1
Nordrhein-Westfalen,Amtsgericht Delbrück,AGPB2
Nordrhein-Westfalen,Amtsgericht Detmold,AGDT
Nordrhein-Westfalen,Amtsgericht Dinslaken,AGDIN
Nordrhein-Westfalen,Amtsgericht Dorsten,AGRE2
Nordrhein-Westfalen,Amtsgericht Dortmund,AGDO
Nordrhein-Westfalen,Amtsgericht Duisburg,AGDU1
Nordrhein-Westfalen,Amtsgericht Duisburg-Hamborn,AGDU2
Nordrhein-Westfalen,Amtsgericht Duisburg-Ruhrort,AGDU3
Nordrhein-Westfalen,Amtsgericht Dülmen,AGCOE2
Nordrhein-Westfalen,Amtsgericht Düren,AGDN
Nordrhein-Westfalen,Amtsgericht Düsseldorf,AGD
Nordrhein-Westfalen,Amtsgericht Emmerich am Rhein,AGKLE2
Nordrhein-Westfalen,Amtsgericht Erkelenz,AGERK
Nordrhein-Westfalen,Amtsgericht Eschweiler,AGAC2
Nordrhein-Westfalen,Amtsgericht Essen,AGE1
Nordrhein-Westfalen,Amtsgericht Essen-Borbeck,AGE2
Nordrhein-Westfalen,Amtsgericht Essen-Steele,AGE3
Nordrhein-Westfalen,Amtsgericht Euskirchen,AGEU
Nordrhein-Westfalen,Amtsgericht Geilenkirchen,AGGK
Nordrhein-Westfalen,Amtsgericht Geldern,AGGEL
Nordrhein-Westfalen,Amtsgericht Gelsenkirchen,AGGE1
Nordrhein-Westfalen,Amtsgericht Gelsenkirchen-Buer,AGGE2
Nordrhein-Westfalen,Amtsgericht Gladbeck,AGGLA
Nordrhein-Westfalen,Amtsgericht Grevenbroich,AGGV
Nordrhein-Westfalen,Amtsgericht Gronau,AGBOR2
Nordrhein-Westfalen,Amtsgericht Gummersbach,AGGM1
Nordrhein-Westfalen,Amtsgericht Gütersloh,AGGT
Nordrhein-Westfalen,Amtsgericht Hagen,AGHA
Nordrhein-Westfalen,Amtsgericht Halle / Westfalen,AGHW
Nordrhein-Westfalen,Amtsgericht Halle,AGHW
Nordrhein-Westfalen,Amtsgericht Hamm,AGHAM
Nordrhein-Westfalen,Amtsgericht Hattingen,AGEN2
Nordrhein-Westfalen,Amtsgericht Heinsberg,AGHS
Nordrhein-Westfalen,Amtsgericht Herford,AGHF1
Nordrhein-Westfalen,Amtsgericht Herne,AGHER1
Nordrhein-Westfalen,Amtsgericht Herne-Wanne,AGHER2
Nordrhein-Westfalen,Amtsgericht Höxter,AGHX1
Nordrhein-Westfalen,Amtsgericht Ibbenbüren,AGST2
Nordrhein-Westfalen,Amtsgericht Iserlohn,AGIS
Nordrhein-Westfalen,Amtsgericht Jülich,AGJUEL
Nordrhein-Westfalen,Amtsgericht Kamen,AGUN2
Nordrhein-Westfalen,Amtsgericht Kempen,AGKK1
Nordrhein-Westfalen,Amtsgericht Kerpen,AGBM3
Nordrhein-Westfalen,Amtsgericht Kleve,AGKLE1
Nordrhein-Westfalen,Amtsgericht Köln,AGK
Nordrhein-Westfalen,Amtsgericht Königswinter,AGSU2
Nordrhein-Westfalen,Amtsgericht Krefeld,AGKR
Nordrhein-Westfalen,Amtsgericht Langenfeld,AGME2
Nordrhein-Westfalen,Amtsgericht Lemgo,AGLE
Nordrhein-Westfalen,Amtsgericht Lennestadt,AGOE2
Nordrhein-Westfalen,Amtsgericht Leverkusen,AGLEV
Nordrhein-Westfalen,Amtsgericht Lippstadt,AGLP
Nordrhein-Westfalen,Amtsgericht Lübbecke,AGLK
Nordrhein-Westfalen,Amtsgericht Lüdenscheid,AGLUED
Nordrhein-Westfalen,Amtsgericht Lüdinghausen,AGLH
Nordrhein-Westfalen,Amtsgericht Lünen,AGLUEN
Nordrhein-Westfalen,Amtsgericht Marl,AGRE3
Nordrhein-Westfalen,Amtsgericht Marsberg,AGHSK1
Nordrhein-Westfalen,Amtsgericht Medebach,AGHSK2
Nordrhein-Westfalen,Amtsgericht Meinerzhagen,AGMK1
Nordrhein-Westfalen,Amtsgericht Menden,AGMK2
Nordrhein-Westfalen,Amtsgericht Meschede,AGMES
Nordrhein-Westfalen,Amtsgericht Mettmann,AGME1
Nordrhein-Westfalen,Amtsgericht Minden,AGMI1
Nordrhein-Westfalen,Amtsgericht Moers,AGMO
Nordrhein-Westfalen,Amtsgericht Mönchengladbach,AGMG1
Nordrhein-Westfalen,Amtsgericht Mönchengladbach-Rheydt,AGMG2
Nordrhein-Westfalen,Amtsgericht Monschau,AGMON
Nordrhein-Westfalen,Amtsgericht Mülheim an der Ruhr,AGMH
Nordrhein-Westfalen,Amtsgericht Münster,AGMS
Nordrhein-Westfalen,Amtsgericht Nettetal,AGKK2
Nordrhein-Westfalen,Amtsgericht Neuss,AGNE
Nordrhein-Westfalen,Amtsgericht Oberhausen,AGOB
Nordrhein-Westfalen,Amtsgericht Olpe,AGOE1
Nordrhein-Westfalen,Amtsgericht Paderborn,AGPB1
Nordrhein-Westfalen,Amtsgericht Plettenberg,AGMK3
Nordrhein-Westfalen,Amtsgericht Rahden,AGMI3
Nordrhein-Westfalen,Amtsgericht Ratingen,AGME3
Nordrhein-Westfalen,Amtsgericht Recklinghausen,AGRE1
Nordrhein-Westfalen,Amtsgericht Remscheid,AGRS
Nordrhein-Westfalen,Amtsgericht Rheda-Wiedenbrück,AGWD
Nordrhein-Westfalen,Amtsgericht Rheinbach,AGSU3
Nordrhein-Westfalen,Amtsgericht Rheinberg,AGWES2
Nordrhein-Westfalen,Amtsgericht Rheine,AGST3
Nordrhein-Westfalen,Amtsgericht Schleiden,AGSLE
Nordrhein-Westfalen,Amtsgericht Schmallenberg,AGHSK3
Nordrhein-Westfalen,Amtsgericht Schwelm,AGEN1
Nordrhein-Westfalen,Amtsgericht Schwerte,AGUN3
Nordrhein-Westfalen,Amtsgericht Siegburg,AGSU1
Nordrhein-Westfalen,Amtsgericht Siegen,AGSI
Nordrhein-Westfalen,Amtsgericht Soest,AGSO1
Nordrhein-Westfalen,Amtsgericht Solingen,AGSG
Nordrhein-Westfalen,Amtsgericht Steinfurt,AGST1
Nordrhein-Westfalen,Amtsgericht Tecklenburg,AGTE
Nordrhein-Westfalen,Amtsgericht Unna,AGUN1
Nordrhein-Westfalen,Amtsgericht Velbert,AGME4
Nordrhein-Westfalen,Amtsgericht Viersen,AGVIE
Nordrhein-Westfalen,Amtsgericht Waldbröl,AGGM2
Nordrhein-Westfalen,Amtsgericht Warburg,AGWAR
Nordrhein-Westfalen,Amtsgericht Warendorf,AGWAF1
Nordrhein-Westfalen,Amtsgericht Warstein,AGSO2
Nordrhein-Westfalen,Amtsgericht Werl,AGSO3
Nordrhein-Westfalen,Amtsgericht Wermelskirchen,AGGL2
Nordrhein-Westfalen,Amtsgericht Wesel,AGWES1
Nordrhein-Westfalen,Amtsgericht Wetter,AGEN3
Nordrhein-Westfalen,Amtsgericht Wipperfürth,AGGM3
Nordrhein-Westfalen,Amtsgericht Witten,AGWIT
Nordrhein-Westfalen,Amtsgericht Wuppertal,AGW
Nordrhein-Westfalen,Anwaltsgericht Kammerbezirk Düsseldorf,AWGD
Nordrhein-Westfalen,Anwaltsgericht Düsseldorf,AWGD
Nordrhein-Westfalen,Anwaltsgericht Kammerbezirk Hamm,AWGHAM
Nordrhein-Westfalen,Anwaltsgericht Hamm,AWGHAM
Nordrhein-Westfalen,Anwaltsgerichtshof Hamm,AWGHAM
Nordrhein-Westfalen,Anwaltsgericht Kammerbezirk Köln,AWGK
Nordrhein-Westfalen,Anwaltsgericht Köln,AWGK
Nordrhein-Westfalen,Anwaltsgerichtshof,AWGHNRW
Nordrhein-Westfalen,Anwaltsgerichtshof NRW,AWGHNRW
Nordrhein-Westfalen,Arbeitsgericht Aachen,ARBGAC
Nordrhein-Westfalen,Arbeitsgericht Arnsberg,ARBGAR
Nordrhein-Westfalen,Arbeitsgericht Bielefeld,ARBGBI
Nordrhein-Westfalen,Arbeitsgericht Bocholt,ARBGBOH
Nordrhein-Westfalen,Arbeitsgericht Bochum,ARBGBO
Nordrhein-Westfalen,Arbeitsgericht Bonn,ARBGBN
Nordrhein-Westfalen,Arbeitsgericht Detmold,ARBGDT
Nordrhein-Westfalen,Arbeitsgericht Dortmund,ARBGDO
Nordrhein-Westfalen,Arbeitsgericht Duisburg,ARBGDU
Nordrhein-Westfalen,Arbeitsgericht Düsseldorf,ARBGD
Nordrhein-Westfalen,Arbeitsgericht Essen,ARBGE
Nordrhein-Westfalen,Landesarbeitsgericht Essen,ARBGE
Nordrhein-Westfalen,Arbeitsgericht Gelsenkirchen,ARBGGE
Nordrhein-Westfalen,Arbeitsgericht Hagen,ARBGHA
Nordrhein-Westfalen,Arbeitsgericht Hamm,ARBGHAM
Nordrhein-Westfalen,Arbeitsgericht Herford,ARBGHF
Nordrhein-Westfalen,Arbeitsgericht Herne,ARBGHER
Nordrhein-Westfalen,Arbeitsgericht Iserlohn,ARBGIS
Nordrhein-Westfalen,Arbeitsgericht Köln,ARBGK
Nordrhein-Westfalen,Arbeitsgericht Krefeld,ARBGKR
Nordrhein-Westfalen,Arbeitsgericht Minden,ARBGMI
Nordrhein-Westfalen,Arbeitsgericht Mönchengladbach,ARBGMG
Nordrhein-Westfalen,Arbeitsgericht Münster,ARBGMS
Nordrhein-Westfalen,Arbeitsgericht Oberhausen,ARBGOB
Nordrhein-Westfalen,Arbeitsgericht Paderborn,ARBGPB
Nordrhein-Westfalen,Arbeitsgericht Rheine,ARBGST
Nordrhein-Westfalen,Arbeitsgericht Siegburg,ARBGSU
Nordrhein-Westfalen,Arbeitsgericht Siegen,ARBGSI
Nordrhein-Westfalen,Arbeitsgericht Solingen,ARBGSG
Nordrhein-Westfalen,Arbeitsgericht Wesel,ARBGWES
Nordrhein-Westfalen,Arbeitsgericht Wuppertal,ARBGW
Nordrhein-Westfalen,"Berufsgericht für Architekten, Architektinnen, Stadtplaner und Stadtplanerinnen",BGANRW
Nordrhein-Westfalen,"Berufsgericht für Architekten, Architektinnen, Stadtplaner und Stadtplanerinnen NRW",BGANRW
Nordrhein-Westfalen,Berufsgericht für Beratende Ingenieure und Ingenieurinnen sowie Ingenieure und Ingenieurinnen im Bauwesen,BGINRW
Nordrhein-Westfalen,Berufsgericht für Beratende Ingenieure und Ingenieurinnen sowie Ingenieure und Ingenieurinnen im Bauwesen NRW,BGINRW
Nordrhein-Westfalen,Berufsgericht für Heilberufe Köln,BGHK
Nordrhein-Westfalen,Berufsgericht für Heilberufe Münster,BGHMS
Nordrhein-Westfalen,Dienstgericht für Richter,DGNRW
Nordrhein-Westfalen,Dienstgericht NRW,DGNRW
Nordrhein-Westfalen,Dienstgerichtshof für Richter,DGHNRW
Nordrhein-Westfalen,Dienstgerichtshof NRW,DGHNRW
Nordrhein-Westfalen,Finanzgericht Düsseldorf,FGD
Nordrhein-Westfalen,Finanzgericht Köln,FGK
Nordrhein-Westfalen,Finanzgericht Münster,FGMS
Nordrhein-Westfalen,Landesarbeitsgericht Düsseldorf,LAGD
Nordrhein-Westfalen,Landesarbeitsgericht Hamm,LAGHAM
Nordrhein-Westfalen,Landesarbeitsgericht Köln,LAGK
Nordrhein-Westfalen,"Landesberufsgericht für Architekten, Architektinnen, Stadtplaner und Stadtplanerinnen",LBGANRW
Nordrhein-Westfalen,"Landesberufsgericht für Architekten, Architektinnen, Stadtplaner und Stadtplanerinnen NRW",LBGANRW
Nordrhein-Westfalen,Landesberufsgericht für Beratende Ingenieure und Ingenieurinnen sowie Ingenieure und Ingenieurinnen im Bauwesen,LBGINRW
Nordrhein-Westfalen,Landesberufsgericht für Beratende Ingenieure und Ingenieurinnen sowie Ingenieure und Ingenieurinnen im Bauwesen NRW,LBGINRW
